id,label,startDate,endDate,file
2026-07-w3,7月第三週｜7/20～7/27,2026-07-20,2026-07-27,./data/2026-07-w3.csv
2026-07-w2,7月第二週｜7/13～7/20,2026-07-13,2026-07-20,./data/2026-07-w2.csv
2026-07-w1,7月第一週｜7/06～7/13,2026-07-06,2026-07-13,./data/2026-07-w1.csv
2026-06-w5,6月第五週｜6/29～7/06,2026-06-29,2026-07-06,./data/2026-06-w5.csv
2026-06-w4,6月第四週｜6/22～6/29,2026-06-22,2026-06-29,./data/2026-06-w4.csv
2026-06-w3,6月第三週｜6/15～6/22,2026-06-15,2026-06-22,./data/2026-06-w3.csv
2026-06-w2,6月第二週｜6/08～6/15,2026-06-08,2026-06-15,./data/2026-06-w2.csv
2026-06-w1,6月第一週｜6/01～6/08,2026-06-01,2026-06-08,./data/2026-06-w1.csv
2026-05-w4,5月第四週｜5/25～6/01,2026-05-25,2026-06-01,./data/2026-05-w4.csv
2026-05-w3,5月第三週｜5/18～5/25,2026-05-18,2026-05-25,./data/2026-05-w3.csv
2026-05-w2,5月第二週｜5/11～5/18,2026-05-11,2026-05-18,./data/2026-05-w2.csv
2026-05-w1,5月第一週｜5/04～5/11,2026-05-04,2026-05-11,./data/2026-05-w1.csv
2026-04-w5,4月第五週｜4/27～5/04,2026-04-27,2026-05-04,./data/2026-04-w5.csv
2026-04-w4,4月第四週｜4/20～4/27,2026-04-18,2026-04-25,./data/2026-04-w4.csv
2026-04-w3,4月第三週｜4/13～4/20,2026-04-13,2026-04-20,./data/2026-04-w3.csv
2026-04-w2,4月第二週｜4/06～4/13,2026-04-06,2026-04-13,./data/2026-04-w2.csv
